185,0.015355567229582588
frame,MAR
186,0.02171605143400755
frame,MAR
187,0.015355567229582588
frame,MAR
188,0.015355567229582588
frame,MAR
189,0.01510822254587803
frame,MAR
190,0.015841118295695487
frame,MAR
191,0.0
frame,MAR
192,0.0
frame,MAR
193,0.0
frame,MAR
194,0.015594571538795133
frame,MAR
195,0.0
frame,MAR
196,0.0
frame,MAR
197,0.0
frame,MAR
198,0.0
frame,MAR
199,0.014898845011808954
frame,MAR
200,0.0
frame,MAR
201,0.0
frame,MAR
202,0.014898845011808954
frame,MAR
203,0.015135886972883327
frame,MAR
204,0.015368255536133623
frame,MAR
205,0.0
frame,MAR
206,0.021405376635597856
frame,MAR
207,0.0
frame,MAR
208,0.015135886972883327
frame,MAR
209,0.0
frame,MAR
210,0.0
frame,MAR
211,0.015607862099528717
frame,MAR
212,0.01537733789348698
frame,MAR
213,0.015368255536133623
frame,MAR
214,0.02174683980216301
frame,MAR
215,0.02174683980216301
frame,MAR
216,0.015368255536133623
frame,MAR
217,0.015617376188860606
frame,MAR
218,0.015607862099528717
frame,MAR
219,0.0
frame,MAR
220,0.0
frame,MAR
221,0.0
frame,MAR
222,0.0
frame,MAR
223,0.0
frame,MAR
224,0.0
frame,MAR
225,0.015594571538795133
frame,MAR
226,0.0
frame,MAR
227,0.0
frame,MAR
228,0.0
frame,MAR
229,0.015841118295695487
frame,MAR
230,0.0
frame,MAR
231,0.0
frame,MAR
232,0.0
frame,MAR
233,0.0
frame,MAR
234,0.0
frame,MAR
235,0.0
frame,MAR
236,0.0
frame,MAR
237,0.0
frame,MAR
238,0.0
frame,MAR
239,0.0
frame,MAR
240,0.0
frame,MAR
241,0.014883984964325055
frame,MAR
242,0.014883984964325055
frame,MAR
243,0.0
frame,MAR
244,0.0
frame,MAR
245,0.0
frame,MAR
246,0.0
frame,MAR
247,0.0
frame,MAR
248,0.0
frame,MAR
249,0.0
frame,MAR
250,0.0
frame,MAR
251,0.0
frame,MAR
252,0.0
frame,MAR
253,0.0
frame,MAR
254,0.0
frame,MAR
255,0.0
frame,MAR
256,0.0
frame,MAR
257,0.015135886972883327
frame,MAR
258,0.015135886972883327
frame,MAR
259,0.0
frame,MAR
260,0.0
frame,MAR
261,0.014910433647938832
frame,MAR
262,0.015368255536133623
frame,MAR
263,0.015368255536133623
frame,MAR
264,0.0
frame,MAR
265,0.0
frame,MAR
266,0.0
frame,MAR
267,0.0
frame,MAR
268,0.0
frame,MAR
269,0.0
frame,MAR
270,0.01492371097349751
frame,MAR
271,0.0
frame,MAR
272,0.0
frame,MAR
273,0.021105314459656365
frame,MAR
274,0.0
frame,MAR
275,0.0
frame,MAR
276,0.0
frame,MAR
277,0.0
frame,MAR
278,0.0
frame,MAR
279,0.0
frame,MAR
280,0.0
frame,MAR
281,0.0
frame,MAR
282,0.0
frame,MAR
283,0.0
frame,MAR
284,0.0
frame,MAR
285,0.0
frame,MAR
286,0.0
frame,MAR
287,0.0
frame,MAR
288,0.0
frame,MAR
289,0.0
frame,MAR
290,0.0
frame,MAR
291,0.0
frame,MAR
292,0.0
frame,MAR
293,0.0
frame,MAR
294,0.015144563320384568
frame,MAR
295,0.015144563320384568
frame,MAR
296,0.015144563320384568
frame,MAR
297,0.0
frame,MAR
298,0.015144563320384568
frame,MAR
299,0.0
frame,MAR
300,0.0
frame,MAR
301,0.014918727820938253
frame,MAR
302,0.014918727820938253
frame,MAR
303,0.014910433647938832
frame,MAR
304,0.0
frame,MAR
305,0.014910433647938832
frame,MAR
306,0.0
frame,MAR
307,0.015144563320384568
frame,MAR
308,0.0
frame,MAR
309,0.015135886972883327
frame,MAR
310,0.0
frame,MAR
311,0.0
frame,MAR
312,0.014691591690258264
frame,MAR
313,0.014910433647938832
frame,MAR
314,0.014910433647938832
frame,MAR
315,0.014883984964325055
frame,MAR
316,0.0
frame,MAR
317,0.0
frame,MAR
318,0.0
frame,MAR
319,0.014898845011808954
frame,MAR
320,0.014883984964325055
frame,MAR
321,0.0
frame,MAR
322,0.014883984964325055
frame,MAR
323,0.0
frame,MAR
324,0.014910433647938832
frame,MAR
325,0.0
frame,MAR
326,0.014898845011808954
frame,MAR
327,0.014680505487867587
frame,MAR
328,0.01492371097349751
frame,MAR
329,0.0
frame,MAR
330,0.01492371097349751
frame,MAR
331,0.01492371097349751
frame,MAR
332,0.014925373134328358
frame,MAR
333,0.0
frame,MAR
334,0.0
frame,MAR
335,0.014491231834595648
frame,MAR
336,0.014704292441876156
frame,MAR
337,0.0
frame,MAR
338,0.014844574520140406
frame,MAR
339,0.0
frame,MAR
340,0.0
frame,MAR
341,0.0
frame,MAR
342,0.0
frame,MAR
343,0.0
frame,MAR
344,0.015067008859064805
frame,MAR
345,0.0
frame,MAR
346,0.0
frame,MAR
347,0.0
frame,MAR
348,0.0
frame,MAR
349,0.0
frame,MAR
350,0.0
frame,MAR
351,0.0
frame,MAR
352,0.0
frame,MAR
353,0.0
frame,MAR
354,0.0
frame,MAR
355,0.014761856225269075
frame,MAR
356,0.0
frame,MAR
357,0.01543768802736096
frame,MAR
358,0.0
frame,MAR
359,0.01543768802736096
frame,MAR
360,0.019447746039610348
frame,MAR
361,0.019156525704423027
frame,MAR
362,0.01832473290751142
frame,MAR
